"mOTU"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"	"mOTU_full"
"ref_mOTU_v25_05173"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Hyphomicrobiaceae gen. [Pelagibacterium/Devosia]"	"Hyphomicrobiaceae sp. [Pelagibacterium sp. SCN 63-126/Pelagibacterium sp. SCN 63-17/Devosia sp. 63-57]"	"ref_mOTU_v25_05173"
"ref_mOTU_v25_05174"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rhodanobacter"	"Rhodanobacter sp. [Rhodanobacter sp. SCN 67-45/Rhodanobacter sp. 67-28]"	"ref_mOTU_v25_05174"
"ref_mOTU_v25_05175"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rhodanobacter"	"Rhodanobacter sp. [Rhodanobacter sp. SCN 66-43/Xanthomonadales bacterium 66-474]"	"ref_mOTU_v25_05175"
"ref_mOTU_v25_05176"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rhodanobacter"	"Rhodanobacter sp. [Rhodanobacter sp. SCN 69-32/Rhodanobacter sp. 68-29]"	"ref_mOTU_v25_05176"
"ref_mOTU_v25_05177"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rhodanobacter"	"Rhodanobacter sp. C06"	"ref_mOTU_v25_05177"
"ref_mOTU_v25_05178"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Thiobacillaceae"	"Thiobacillus"	"Thiobacillus sp. [Thiobacillus sp. SCN 64-317/Thiobacillus sp. 63-78]"	"ref_mOTU_v25_05178"
"ref_mOTU_v25_05179"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Thiobacillaceae"	"Thiobacillus"	"Thiobacillus sp. [Thiobacillus sp. SCN 65-179/Thiobacillus sp. 65-69]"	"ref_mOTU_v25_05179"
"ref_mOTU_v25_05180"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Thiobacillaceae"	"Thiobacillus"	"Thiobacillus sp. [Thiobacillus sp. SCN 63-57/Thiobacillus sp. 0-1251]"	"ref_mOTU_v25_05180"
"ref_mOTU_v25_05181"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Acidovorax"	"Acidovorax caeni"	"ref_mOTU_v25_05181"
"ref_mOTU_v25_05182"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Comamonadaceae gen. incertae sedis"	"Comamonadaceae bacterium SCN 68-20"	"ref_mOTU_v25_05182"
